price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,inferred_price,difference,dif_per
270000.0,122,52.05408715355304,-9.464114008683936,3,1,house,V93,231356.3,-38643.703125,-0.02993449261893335
685000.0,172,53.34792790249625,-6.345854017963063,3,3,house,D20,637254.56,-47745.4375,-0.03698495047972951
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,P25,310875.06,-34124.9375,-0.026434130456158552
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,P25,310875.06,-34124.9375,-0.026434130456158552
315000.0,102,53.73537529218743,-6.884168678808862,3,3,house,A82,213604.17,-101395.828125,-0.07854404270678826
265000.0,82,53.73537529218743,-6.884168678808862,2,3,house,A82,177109.52,-87890.484375,-0.06808242593334317
250000.0,87,51.94002018848553,-7.999571909196248,2,2,house,P36,224508.19,-25491.8125,-0.019746670515922066
240000.0,87,51.94002018848553,-7.999571909196248,2,2,house,P36,224508.19,-15491.8125,-0.012000390993458896
345000.0,102,53.63023,-6.26834,3,3,house,K32,312572.44,-32427.5625,-0.02511929633571446
345000.0,102,53.63023,-6.26834,3,3,house,K32,312572.44,-32427.5625,-0.02511929633571446
520000.0,213,53.51984230644867,-7.310122588856075,4,2,house,N91,486732.6,-33267.40625,-0.025769862779983825
395000.0,160,53.51984230644867,-7.310122588856075,4,2,house,N91,350756.12,-44243.875,-0.034272542290692015
755000.0,122,53.27337565251915,-6.174798375412792,3,2,apartment,D18,725539.8,-29460.1875,-0.022820684715917545
590000.0,88,53.27337565251915,-6.174798375412792,2,2,apartment,D18,535497.0,-54503.0,-0.042219547281281015
330000.0,128,52.47884,-7.980359,3,2,house,,247950.22,-82049.78125,-0.06355805403194575
360000.0,111,52.62786,-8.645634,4,4,house,V94,290576.0,-69424.0,-0.05377777095674831
545000.0,162,53.558702,-6.772497,5,4,house,C15,419965.75,-125034.25,-0.09685502503815406
179000.0,91,52.844062,-8.971543,3,2,house,V95,193773.23,14773.234375,0.023295692758135592
380000.0,112,53.297403,-6.693016,3,3,house,W91,350965.0,-29035.0,-0.022491322593471814
795000.0,123,53.330146,-6.271332,2,2,house,D08,740116.25,-54883.75,-0.0425144868740988
550000.0,132,53.390428,-6.148474,4,1,house,D05,640306.7,90306.6875,0.1424032674635587
1400000.0,170,53.313025,-6.253539,3,3,house,D06,1351119.4,-48880.625,-0.03786429844827013
595000.0,85,53.304236,-6.199366,2,2,house,A94,585937.7,-9062.3125,-0.007019920574491201
175000.0,73,52.856248,-7.565887,3,1,,R32,181470.4,6470.40625,0.010203087028484261
235000.0,65,52.633696,-8.670248,2,1,apartment,V94,167971.52,-67028.484375,-0.051922137593580504
190000.0,50,52.633696,-8.670248,1,1,apartment,V94,153585.69,-36414.3125,-0.028207544324332465
320000.0,143,52.26650106348072,-7.1362045526255145,3,4,house,X91,276109.12,-43890.875,-0.033999098623549065
750000.0,160,53.255909,-6.145767,4,3,house,D18,807706.6,57706.625,0.09099671554550466
740000.0,158,53.255871,-6.145767,4,3,house,D18,807706.6,67706.625,0.10676556627027062
595000.0,103,53.295864,-6.226621,3,2,apartment,D14,654948.9,59948.875,0.0945324860992653
525000.0,81,53.295864,-6.226621,2,2,apartment,D14,507345.16,-17654.84375,-0.013675935461291188
475000.0,121,53.423835,-6.193284,4,2,,K67,461941.06,-13058.9375,-0.010115818014137638
160000.0,78,51.905665,-8.495236,3,1,house,T23,213780.0,53780.0,0.08480487919779126
750000.0,275,52.639812,-7.257775,5,5,house,R95,701869.94,-48130.0625,-0.03728289175586225
495000.0,242,52.672657,-8.658496,6,6,house,V94,563972.8,68972.8125,0.10876219843797708
425000.0,145,52.198686,-6.837243,3,2,house,Y34,353937.66,-71062.34375,-0.05504687782088636
470000.0,98,53.313043,-6.313173,3,1,house,,464292.94,-5707.0625,-0.0044208501377167465
235000.0,84,52.875412,-8.202997,3,3,house,E45,181682.22,-53317.78125,-0.04130144370800457
260000.0,112,53.727478,-6.887601,4,3,house,A82,207508.22,-52491.78125,-0.040661601019449115
420000.0,250,54.233538,-6.963508,5,3,house,H18,373752.66,-46247.34375,-0.035824485185894005
695000.0,126,53.364258,-6.274423,4,2,house,D09,626610.2,-68389.8125,-0.052976660411384574
235000.0,60,51.920785,-8.384848,2,2,house,T45,215012.05,-19987.953125,-0.015483227198814122
275000.0,82,53.289023,-6.384621,3,1,house,D24,271229.84,-3770.15625,-0.0029204684155861534
270000.0,118,52.513060644802266,-6.594373295471655,4,2,house,Y21,236354.77,-33645.234375,-0.026062539006753642
255000.0,112,52.513060644802266,-6.594373295471655,3,2,house,Y21,235644.81,-19355.1875,-0.014993069258468512
