price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,predicted_price,residual,res_percentage
420000.0,251,52.21956,-6.51365,5,4,house,Y35,543318.0858441147,123318.08584411466,0.2936144901050349
295000.0,92,51.703118,-8.533707,3,2,house,P17,445185.7486226112,150185.74862261122,0.509104232619021
395000.0,128,53.454745,-6.232888,3,2,house,K67,462457.42580357374,67457.42580357374,0.1707782931736044
675000.0,158,53.291755,-6.233555,4,2,house,D14,847035.4583614292,172035.45836142916,0.2548673457206358
345000.0,130,51.922573,-8.386337,4,3,house,T45,303905.86651645374,-41094.13348354626,-0.11911343038709062
375000.0,123,51.94105806529302,-8.400895797602345,3,2,house,T45,285901.87784488476,-89098.12215511524,-0.23759499241364065
350000.0,108,51.94105806529302,-8.400895797602345,3,2,house,T45,270522.04879303405,-79477.95120696595,-0.22707986059133128
280000.0,101,53.00821738601758,-6.815975010141557,3,3,house,,225933.721910104,-54066.27808989599,-0.1930938503210571
240000.0,119,51.935181866436665,-10.235626647837137,4,3,house,,247370.48721120314,7370.487211203144,0.030710363380013102
220000.0,120,51.935181866436665,-10.235626647837137,3,3,house,,233409.70027319272,13409.70027319272,0.060953183059966914
270000.0,124,52.05408715355304,-9.464114008683936,3,2,house,V93,254170.2319538389,-15829.768046161102,-0.058628770541337416
270000.0,122,52.05408715355304,-9.464114008683936,3,1,house,V93,236210.44020475828,-33789.559795241716,-0.1251465177601545
685000.0,172,53.34792790249625,-6.345854017963063,3,3,house,D20,634968.7871776172,-50031.212822382804,-0.0730382668939895
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,P25,316854.13514082076,-28145.864859179244,-0.08158221698312824
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,P25,316854.13514082076,-28145.864859179244,-0.08158221698312824
315000.0,102,53.73537529218743,-6.884168678808862,3,3,house,A82,216279.6653961291,-98720.3346038709,-0.3133978876313362
265000.0,82,53.73537529218743,-6.884168678808862,2,3,house,A82,179527.1628293154,-85472.8371706846,-0.32253900819126263
250000.0,87,51.94002018848553,-7.999571909196248,2,2,house,P36,222340.08115575227,-27659.91884424773,-0.11063967537699093
240000.0,87,51.94002018848553,-7.999571909196248,2,2,house,P36,222340.08115575227,-17659.91884424773,-0.07358299518436555
345000.0,102,53.63023,-6.26834,3,3,house,K32,322766.43153839884,-22233.568461601157,-0.06444512597565552
345000.0,102,53.63023,-6.26834,3,3,house,K32,322766.43153839884,-22233.568461601157,-0.06444512597565552
520000.0,213,53.51984230644867,-7.310122588856075,4,2,house,N91,369100.219356654,-150899.78064334602,-0.2901918858525885
395000.0,160,53.51984230644867,-7.310122588856075,4,2,house,N91,308728.5116297117,-86271.48837028828,-0.21840883131718553
755000.0,122,53.27337565251915,-6.174798375412792,3,2,apartment,D18,610646.0920167847,-144353.9079832153,-0.19119722911684145
590000.0,88,53.27337565251915,-6.174798375412792,2,2,apartment,D18,460830.269417911,-129169.73058208899,-0.21893174674930338
330000.0,128,52.47884,-7.980359,3,2,house,,246851.56825726287,-83148.43174273713,-0.251964944674961
360000.0,111,52.62786,-8.645634,4,4,house,V94,266827.37863404886,-93172.62136595114,-0.2588128371276421
545000.0,162,53.558702,-6.772497,5,4,house,C15,392021.56877107493,-152978.43122892507,-0.28069436922738544
179000.0,91,52.844062,-8.971543,3,2,house,V95,195542.9284619711,16542.92846197111,0.09241859475961514
380000.0,112,53.297403,-6.693016,3,3,house,W91,338590.194559027,-41409.805440973025,-0.1089731722130869
795000.0,123,53.330146,-6.271332,2,2,house,D08,604036.3426335873,-190963.6573664127,-0.2402058583225317
550000.0,132,53.390428,-6.148474,4,1,house,D05,610793.3297215959,60793.32972159586,0.11053332676653793
1400000.0,170,53.313025,-6.253539,3,3,house,D06,1208063.67724457,-191936.3227554299,-0.13709737339673564
595000.0,85,53.304236,-6.199366,2,2,house,A94,576798.4943309443,-18201.50566905574,-0.03059076583034578
175000.0,73,52.856248,-7.565887,3,1,,R32,174615.41268061218,-384.5873193878215,-0.0021976418250732655
235000.0,65,52.633696,-8.670248,2,1,apartment,V94,136713.9646244199,-98286.0353755801,-0.41823844840672386
190000.0,50,52.633696,-8.670248,1,1,apartment,V94,121374.95208970425,-68625.04791029575,-0.3611844626857671
320000.0,143,52.26650106348072,-7.1362045526255145,3,4,house,X91,302757.748245282,-17242.251754718018,-0.05388203673349381
750000.0,160,53.255909,-6.145767,4,3,house,D18,884815.1486719477,134815.14867194765,0.17975353156259688
740000.0,158,53.255871,-6.145767,4,3,house,D18,883084.1660371472,143084.16603714717,0.19335698113127994
595000.0,103,53.295864,-6.226621,3,2,apartment,D14,574266.6518989215,-20733.348101078533,-0.03484596319508997
525000.0,81,53.295864,-6.226621,2,2,apartment,D14,456935.71991174284,-68064.28008825716,-0.1296462477871565
475000.0,121,53.423835,-6.193284,4,2,,K67,496182.1676252301,21182.167625230097,0.04459403710574757
160000.0,78,51.905665,-8.495236,3,1,house,T23,221172.0445748077,61172.04457480769,0.38232527859254806
750000.0,275,52.639812,-7.257775,5,5,house,R95,652843.2186435654,-97156.78135643457,-0.12954237514191277
495000.0,242,52.672657,-8.658496,6,6,house,V94,503919.0313360401,8919.03133604012,0.018018245123313372
425000.0,145,52.198686,-6.837243,3,2,house,Y34,305037.6110847793,-119962.38891522068,-0.2822644445064016
470000.0,98,53.313043,-6.313173,3,1,house,,415209.3526800666,-54790.6473199334,-0.11657584536156042
235000.0,84,52.875412,-8.202997,3,3,house,E45,192086.20953044906,-42913.790469550935,-0.1826118743385146
260000.0,112,53.727478,-6.887601,4,3,house,A82,220523.60738686324,-39476.39261313676,-0.15183227928129525
420000.0,250,54.233538,-6.963508,5,3,house,H18,407257.1166189912,-12742.88338100881,-0.030340198526211455
695000.0,126,53.364258,-6.274423,4,2,house,D09,580112.1590134113,-114887.84098658874,-0.16530624602386867
235000.0,60,51.920785,-8.384848,2,2,house,T45,211923.28617370845,-23076.713826291554,-0.09819878223953853
275000.0,82,53.289023,-6.384621,3,1,house,D24,291220.73931636335,16220.739316363353,0.058984506604957646
270000.0,118,52.513060644802266,-6.594373295471655,4,2,house,Y21,236344.75104259118,-33655.248957408825,-0.12464907021262528
255000.0,112,52.513060644802266,-6.594373295471655,3,2,house,Y21,225547.70597668117,-29452.294023318827,-0.11549919224830912
469000.0,156,52.67189077477643,-7.234891523568308,4,2,house,R95,367284.1717126543,-101715.8282873457,-0.21687809869370087
429000.0,158,52.67189077477643,-7.234891523568308,4,2,house,R95,367884.9024824443,-61115.097517555696,-0.1424594347728571
285000.0,106,52.64556987837384,-7.268047941441438,2,2,,R95,241894.99803253007,-43105.00196746993,-0.15124562093849098
340000.0,142,52.748299556753125,-8.768721306862489,4,3,house,V95,300164.87437983725,-39835.125620162755,-0.11716213417694928
310000.0,105,52.64556987837384,-7.268047941441438,3,3,house,R95,262144.5602799039,-47855.439720096125,-0.15437238619385846
255000.0,102,52.32500830205734,-6.462498885578981,3,3,house,Y35,266423.2499887151,11423.249988715106,0.04479705877927492
250000.0,95,52.32500830205734,-6.462498885578981,3,3,house,Y35,243994.5693280066,-6005.43067199341,-0.024021722687973642
185000.0,105,52.333519,-7.315405,3,2,house,E32,203591.76201303513,18591.762013035128,0.10049601088127096
500000.0,153,51.53049,-9.48442,4,3,house,P81,451360.6507102877,-48639.34928971232,-0.09727869857942464
395000.0,189,54.971052,-7.692054,3,3,house,F92,296139.1073926618,-98860.8926073382,-0.2502807407780714
285000.0,84,53.393464,-6.407156,3,1,house,D15,300852.42448818934,15852.42448818934,0.05562254206382224
795000.0,267,53.023818,-6.221467,4,2,,,857306.4767125691,62306.47671256913,0.07837292668247689
540000.0,82,53.342728,-6.239747,3,2,apartment,D02,531251.1905723049,-8748.809427695116,-0.01620149894017614
575000.0,207,52.084981,-7.645957,4,3,house,X35,446373.0136995972,-128626.98630040279,-0.22369910660939615
575000.0,242,52.055091,-9.505483,6,5,house,V93,505784.7731787726,-69215.2268212274,-0.1203743075151781
565000.0,201,52.654304,-7.800728,5,3,house,E41,391852.8829712415,-173147.1170287585,-0.3064550743871832
139000.0,60,54.206761,-8.506714,2,1,house,F91,118406.99576334486,-20593.004236655135,-0.148151109616224
