floor_area,views,latitude,longitude,bathroom,type_house,code,price,inferred_price,difference,dif_per
115,6315.0,53.781468,-8.103905,1,house,,120000.0,152905.53210935887,32905.53210935887,0.05015432527342284
71,3172.0,53.38652,-6.181611,2,house,D17,275000.0,321670.25023256853,46670.250232568535,0.07113438867899488
96,11978.0,53.339515,-6.228698,2,house,D04,570000.0,672926.3498603386,102926.34986033861,0.1568794454666584
102,4347.0,53.345628,-6.417161,3,house,K78,349000.0,353808.59231505945,4808.592315059446,0.007329214500323478
144,3198.0,53.921209,-7.865733,1,house,N41,135000.0,177358.40077934792,42358.400779347925,0.06456230531963326
88,2794.0,53.367392,-6.297719,2,house,D07,350000.0,417552.04622242355,67552.04622242355,0.10296224014445021
89,2229.0,53.297128,-6.342072,1,house,D24,295000.0,338919.44053990935,43919.44053990935,0.06694162851841162
61,5169.0,53.281557,-8.984763,1,apartment,H91,165000.0,208021.39866766147,43021.39866766147,0.06557284092305578
100,1277.0,53.730217,-9.002704,3,house,F12,185000.0,156823.6704956209,-28176.3295043791,-0.020888688095853706
59,2146.0,53.359751,-6.276207,2,house,D07,395000.0,331322.7802799307,-63677.21972006932,-0.04720748248408106
76,4068.0,53.32917,-6.315743,1,house,D12,280000.0,319514.58025811834,39514.58025811834,0.060227778864720916
93,4573.0,53.805732,-8.918608,1,house,F12,85000.0,138804.30219127395,53804.30219127395,0.082008048502069
75,3415.0,53.313585,-6.207464,2,apartment,D04,500000.0,525633.9628144043,25633.96281440428,0.03907106272488439
61,4697.0,53.271569,-6.37355,1,apartment,D24,209950.0,190646.8696341958,-19303.130365804187,-0.014310489569701372
124,17195.0,53.325188,-6.258133,2,house,D06,745000.0,834029.9007995512,89029.90079955116,0.1356985989140492
64,4526.0,53.970962,-6.800238,1,house,,115000.0,125552.89913488804,10552.899134888037,0.016084636894179355
63,1807.0,53.388519,-6.392516,2,apartment,D15,215000.0,241851.30923024012,26851.30923024012,0.04092653152287721
278,5733.0,53.111629,-6.109055,3,house,,925000.0,966844.581447855,41844.58144785499,0.06377914637244396
