price,floor_area,latitude,longitude,bedroom,bathroom,type_house,place,predicted_price,residual,res_percentage
325000.0,196,54.208804,-8.382849,4,3,house,Sligo,314007.9818944346,-10992.018105565396,-0.03382159417097045
180000.0,62,52.664214,-7.234523,2,1,house,Kilkenny,154414.59406789043,-25585.40593210957,-0.14214114406727538
370000.0,154,51.995722,-8.716585,5,4,house,Rylane,356539.04860841343,-13460.951391586568,-0.036380949706990726
1100000.0,496,52.622942,-8.633775,4,5,house,Limerick,869529.6581216678,-230470.3418783322,-0.20951849261666564
130000.0,61,53.713722,-6.341993,2,1,house,Drogheda,169796.76164479548,39796.76164479548,0.306128935729196
345000.0,98,53.23746,-6.658913,3,3,house,Naas,311236.0773126803,-33763.92268731969,-0.09786644257194113
435000.0,173,52.65921219756217,-7.2705129037048835,4,3,house,Kilkenny,422004.3211729172,-12995.678827082796,-0.02987512374042022
410000.0,138,52.65921219756217,-7.2705129037048835,4,3,house,Kilkenny,307925.1099968229,-102074.8900031771,-0.24896314634921246
350000.0,127,53.03531025771622,-7.270790859646041,4,3,house,Portlaoise,276787.583701964,-73212.416298036,-0.20917833228010285
330000.0,108,53.03531025771622,-7.270790859646041,3,3,house,Portlaoise,240459.46830072755,-89540.53169927245,-0.27133494454324986
725000.0,153,53.12737070936103,-6.084506826874161,3,3,house,Greystones,698608.6587292119,-26391.341270788107,-0.03640185002867325
279950.0,95,53.95895216214487,-6.392855861972436,3,3,house,Dundalk,233166.84197920136,-46783.15802079864,-0.16711254874369938
224950.0,70,53.95895216214487,-6.392855861972436,2,2,house,Dundalk,177861.6584058787,-47088.3415941213,-0.2093280355373252
740000.0,140,53.243961,-6.150204,4,3,house,Dublin 18,754895.9042668256,14895.904266825644,0.020129600360575196
635000.0,121,53.243152,-6.143295,3,2,house,Dublin 18,637899.3851722672,2899.3851722672116,0.004565960901208207
555000.0,87,53.246234,-6.155611,2,2,house,Dublin 18,450733.1588253286,-104266.84117467143,-0.18786818229670527
580000.0,141,53.12815660102234,-6.08256378583016,4,3,house,Greystones,639609.3174841506,59609.31748415064,0.1027746853175011
